account_id,business_name,industry,state,disbursement_date,funding_amount,repayment_term_months,factor_rate,origination_fee,repayment_status,monthly_payment_amount
ACC-0001,Summit Trading Co.,Retail,AL,2024-11-04,31500,9,1.246,473.56,On Track,4361.0
ACC-0002,Pine Hollow Carpentry,Construction,NH,2024-10-29,90500,18,1.439,2050.72,On Track,7234.97
ACC-0003,Beacon Storefront,E-Commerce,PA,2024-07-16,28500,9,1.337,557.87,On Track,4233.83
ACC-0004,Willow Wellness Clinic,Healthcare,NV,2023-04-13,47000,12,1.233,832.12,Paid Off,4829.25
ACC-0005,Highland Dermatology,Healthcare,MD,2023-08-07,40000,6,1.285,968.16,On Track,8566.67
ACC-0006,Ironclad Express,Logistics,TN,2024-05-10,60000,18,1.401,1105.59,On Track,4670.0
ACC-0007,Patriot Mercantile,Retail,ME,2024-12-31,38500,18,1.351,919.5,On Track,2889.64
ACC-0008,Meridian Excavation,Construction,OK,2024-08-18,47500,12,1.318,982.73,On Track,5217.08
ACC-0009,Ironclad Cafe,Food & Beverage,MS,2023-11-04,48500,9,1.416,863.36,On Track,7630.67
ACC-0010,Liberty Apparel,Retail,AK,2023-06-21,36500,9,1.352,623.11,On Track,5483.11
ACC-0011,Blue River DTC,E-Commerce,NE,2024-12-03,72000,12,1.343,1335.81,On Track,8058.0
ACC-0012,Maple Lane Hauling,Logistics,AZ,2023-07-21,62500,12,1.207,965.47,On Track,6286.46
ACC-0013,Brookstone Builders,Construction,WA,2023-09-08,52500,9,1.182,1030.15,Late,6895.0
ACC-0014,Patriot Excavation,Construction,NM,2024-12-06,43500,9,1.44,1241.03,Defaulted,6960.0
ACC-0015,Market Street Builders,Construction,ME,2024-02-15,85000,9,1.33,2334.99,On Track,12561.11
ACC-0016,Golden State Roofing,Construction,MO,2023-07-13,48500,12,1.275,998.13,On Track,5153.12
ACC-0017,Rocky Peak Digital,E-Commerce,NM,2023-01-04,46500,12,1.327,1099.14,Paid Off,5142.12
ACC-0018,Mainline Market,Retail,IN,2023-11-11,58500,12,1.169,1375.36,Paid Off,5698.88
ACC-0019,Pioneer Trucking,Logistics,IA,2024-12-21,140000,12,1.397,3840.35,On Track,16298.33
ACC-0020,Summit Dermatology,Healthcare,MA,2023-11-13,26500,9,1.215,491.43,On Track,3577.5
ACC-0021,Lakeside DTC,E-Commerce,IL,2024-05-26,84000,9,1.391,1633.45,On Track,12982.67
